,Application#,Application Type,Date,Status,ProjectName
3,19 214039 BLD 00,Small Residential Projects,"Sep 4, 2019",Permit Issued,7 ANCROFT PL
0,21 215854 HVA 00,Mechanical(MS),"Sep 23, 2021",Inspection,11 ASQUITH AVE
1,21 215854 PLB 00,Plumbing(PS),"Sep 23, 2021",Inspection,11 ASQUITH AVE
2,18 197407 MSA 00,Mechanical(MS),"Jul 20, 2018",Inspection,11 ASQUITH AVE
3,13 144309 BLD 00,Building Additions/Alterations,"Apr 4, 2013",Permit Issued,11 ASQUITH AVE
0,21 215854 HVA 00,Mechanical(MS),"Sep 23, 2021",Inspection,15 ASQUITH AVE
1,21 215854 PLB 00,Plumbing(PS),"Sep 23, 2021",Inspection,15 ASQUITH AVE
0,22 144360 BLD 00,Building Additions/Alterations,"May 12, 2022",Permit Issued,40 ASQUITH AVE
1,22 144360 HVA 00,Mechanical(MS),"May 12, 2022",Permit Issued,40 ASQUITH AVE
2,21 216756 MSA 00,Mechanical(MS),"Oct 8, 2021",Permit Issued,40 ASQUITH AVE
3,21 211006 BLD 00,Building Additions/Alterations,"Sep 17, 2021",Permit Issued,40 ASQUITH AVE
4,20 151982 BLD 00,Building Additions/Alterations,"Jun 4, 2020",Inspection,40 ASQUITH AVE
5,20 151982 HVA 00,Mechanical(MS),"Jun 4, 2020",Closed,40 ASQUITH AVE
6,20 151982 PLB 00,Plumbing(PS),"Jun 4, 2020",Closed,40 ASQUITH AVE
7,16 131543 BLD 00,Building Additions/Alterations,"Mar 24, 2016",Revocation Pending,40 ASQUITH AVE
8,14 174728 BLD 00,Building Additions/Alterations,"Jun 16, 2014",Permit Issued,40 ASQUITH AVE
9,13 182009 BLD 00,Building Additions/Alterations,"Jun 5, 2013",Permit Issued,40 ASQUITH AVE
0,19 116200 BLD 01,Small Residential Projects,"May 17, 2022",Revision Issued,84 ASQUITH AVE
1,19 116200 BLD 00,Small Residential Projects,"Feb 25, 2019",Inspection,84 ASQUITH AVE
0,23 106412 HVA 00,Mechanical(MS),"Feb 24, 2023",Issuance Pending,4 AVENUE RD
1,23 106412 BLD 00,Building Additions/Alterations,"Feb 10, 2023",Refusal Notice,4 AVENUE RD
2,22 184262 BLD 00,Building Additions/Alterations,"Aug 3, 2022",Inspection,4 AVENUE RD
3,22 184262 HVA 00,Mechanical(MS),"Aug 3, 2022",Permit Issued,4 AVENUE RD
4,22 184262 PLB 00,Plumbing(PS),"Aug 3, 2022",Inspection,4 AVENUE RD
5,22 163386 BLD 00,Building Additions/Alterations,"Jun 30, 2022",Inspection,4 AVENUE RD
6,17 246705 HVA 01,Mechanical(MS),"Sep 17, 2019",Revision Issued,4 AVENUE RD
7,18 125224 BLD 01,Building Additions/Alterations,"Sep 17, 2019",Revision Issued,4 AVENUE RD
8,18 125224 BLD 00,Building Additions/Alterations,"Mar 6, 2018",Inspection,4 AVENUE RD
9,17 246705 HVA 00,Mechanical(MS),"Oct 18, 2017",Inspection,4 AVENUE RD
10,17 203968 BLD 00,Building Additions/Alterations,"Jul 27, 2017",Inspection,4 AVENUE RD
11,17 203968 HVA 00,Mechanical(MS),"Jul 27, 2017",Inspection,4 AVENUE RD
12,16 210809 BLD 00,Building Additions/Alterations,"Aug 25, 2016",Permit Issued,4 AVENUE RD
0,21 221055 BLD 00,Building Additions/Alterations,"Oct 5, 2021",Inspection,21 AVENUE RD
1,21 221055 HVA 00,Mechanical(MS),"Oct 5, 2021",Inspection,21 AVENUE RD
2,21 221055 PLB 00,Plumbing(PS),"Oct 5, 2021",Inspection,21 AVENUE RD
3,17 173795 BLD 01,Building Additions/Alterations,"Feb 9, 2018",Revision Issued,21 AVENUE RD
4,17 173795 PLB 01,Plumbing(PS),"Feb 9, 2018",Revision Issued,21 AVENUE RD
5,17 173795 HVA 01,Mechanical(MS),"Feb 9, 2018",Revision Issued,21 AVENUE RD
6,17 131601 BLD 01,Building Additions/Alterations,"Aug 18, 2017",Revision Issued,21 AVENUE RD
7,17 131601 HVA 01,Mechanical(MS),"Aug 18, 2017",Revision Issued,21 AVENUE RD
8,17 131601 PLB 01,Plumbing(PS),"Aug 18, 2017",Revision Issued,21 AVENUE RD
9,17 173795 BLD 00,Building Additions/Alterations,"Jun 6, 2017",Inspection,21 AVENUE RD
10,17 173795 HVA 00,Mechanical(MS),"Jun 6, 2017",Inspection,21 AVENUE RD
11,17 173795 PLB 00,Plumbing(PS),"Jun 6, 2017",Inspection,21 AVENUE RD
12,17 131601 BLD 00,Building Additions/Alterations,"Mar 21, 2017",Inspection,21 AVENUE RD
13,17 131601 HVA 00,Mechanical(MS),"Mar 21, 2017",Inspection,21 AVENUE RD
14,17 131601 PLB 00,Plumbing(PS),"Mar 21, 2017",Inspection,21 AVENUE RD
15,15 254417 PLB 01,Plumbing(PS),"Jul 7, 2016",Revision Issued,21 AVENUE RD
16,15 254417 MSA 01,Mechanical(MS),"Jul 5, 2016",Revision Issued,21 AVENUE RD
17,15 254417 BLD 03,Building Additions/Alterations,"Jun 7, 2016",Revision Issued,21 AVENUE RD
18,15 254417 BLD 04,Building Additions/Alterations,"Jun 7, 2016",Revision Issued,21 AVENUE RD
19,12 289341 HVA 03,Mechanical(MS),"May 11, 2016",Revision Issued,21 AVENUE RD
20,15 254417 BLD 02,Building Additions/Alterations,"Apr 4, 2016",Revision Issued,21 AVENUE RD
21,15 254417 BLD 01,Building Additions/Alterations,"Jan 21, 2016",Revision Issued,21 AVENUE RD
22,15 254417 PLB 00,Plumbing(PS),"Jan 18, 2016",Inspection,21 AVENUE RD
23,15 254417 HVA 00,Mechanical(MS),"Jan 15, 2016",Inspection,21 AVENUE RD
24,15 254417 BLD 00,Building Additions/Alterations,"Nov 20, 2015",Inspection,21 AVENUE RD
25,15 191702 HVA 00,Mechanical(MS),"Jul 17, 2015",Inspection,21 AVENUE RD
26,15 191702 BLD 00,Building Additions/Alterations,"Jul 16, 2015",Inspection,21 AVENUE RD
27,14 196317 HVA 00,Mechanical(MS),"Jul 25, 2014",Permit Issued,21 AVENUE RD
28,14 196317 PLB 00,Plumbing(PS),"Jul 25, 2014",Inspection,21 AVENUE RD
29,14 196317 BLD 00,Building Additions/Alterations,"Jul 24, 2014",Inspection,21 AVENUE RD
30,12 289341 HVA 02,Mechanical(MS),"Jan 23, 2014",Revision Issued,21 AVENUE RD
31,13 279862 BLD 00,New Building,"Dec 19, 2013",Inspection,21 AVENUE RD
32,13 279862 HVA 00,Mechanical(MS),"Dec 19, 2013",Inspection,21 AVENUE RD
33,13 279862 PLB 00,Plumbing(PS),"Dec 19, 2013",Inspection,21 AVENUE RD
34,12 289341 HVA 01,Mechanical(MS),"Dec 11, 2013",Revision Issued,21 AVENUE RD
35,12 289341 PLB 01,Plumbing(PS),"Nov 26, 2013",Revision Issued,21 AVENUE RD
36,13 267339 BLD 00,New Building,"Nov 20, 2013",Inspection,21 AVENUE RD
37,13 267339 HVA 00,Mechanical(MS),"Nov 20, 2013",Inspection,21 AVENUE RD
38,13 267339 PLB 00,Plumbing(PS),"Nov 20, 2013",Inspection,21 AVENUE RD
0,22 107428 HVA 00,Mechanical(MS),"Feb 16, 2022",Inspection,38 AVENUE RD
1,22 107428 BLD 00,Building Additions/Alterations,"Jan 26, 2022",Inspection,38 AVENUE RD
2,22 107428 PLB 00,Plumbing(PS),"Jan 26, 2022",Inspection,38 AVENUE RD
3,21 169332 FSU 00,Fire/Security Upgrade,"Jun 14, 2021",Permit Issued,38 AVENUE RD
4,21 115120 BLD 00,Building Additions/Alterations,"Feb 11, 2021",Inspection,38 AVENUE RD
5,21 115120 HVA 00,Mechanical(MS),"Feb 11, 2021",Inspection,38 AVENUE RD
6,17 256891 BLD 00,Building Additions/Alterations,"Nov 2, 2017",Permit Issued,38 AVENUE RD
7,16 215706 BLD 03,Building Additions/Alterations,"Jan 31, 2017",Revision Issued,38 AVENUE RD
8,16 248951 BLD 00,Building Additions/Alterations,"Dec 1, 2016",Inspection,38 AVENUE RD
9,16 215706 BLD 02,Building Additions/Alterations,"Nov 21, 2016",Revision Issued,38 AVENUE RD
10,16 215706 BLD 01,Building Additions/Alterations,"Oct 31, 2016",Revision Issued,38 AVENUE RD
11,16 215706 HVA 00,Mechanical(MS),"Sep 28, 2016",Inspection,38 AVENUE RD
12,16 215706 BLD 00,Building Additions/Alterations,"Aug 31, 2016",Inspection,38 AVENUE RD
13,16 186432 BLD 00,Building Additions/Alterations,"Jul 7, 2016",Permit Issued,38 AVENUE RD
14,14 147603 BLD 00,Building Additions/Alterations,"Apr 25, 2014",Inspection,38 AVENUE RD
15,14 147603 HVA 00,Mechanical(MS),"Apr 25, 2014",Inspection,38 AVENUE RD
16,13 219749 BLD 00,Building Additions/Alterations,"Aug 13, 2013",Inspection,38 AVENUE RD
17,13 219749 PLB 00,Plumbing(PS),"Aug 13, 2013",Permit Issued,38 AVENUE RD
18,13 146949 BLD 00,Building Additions/Alterations,"Apr 10, 2013",Permit Issued,38 AVENUE RD
0,21 240883 SHO 00,Conditional Permit,,Permit Issued,45 AVENUE RD
1,21 240883 SHO 00,Partial Permit,"Jan 20, 2022",Examiner's Notice Sent,45 AVENUE RD
2,21 240883 STR 00,Partial Permit,"Jan 20, 2022",Under Review,45 AVENUE RD
3,21 240883 FND 00,Partial Permit,"Jan 20, 2022",Under Review,45 AVENUE RD
4,21 240883 BLD 00,New Building,"Dec 7, 2021",Examiner's Notice Sent,45 AVENUE RD
5,21 240883 HVA 00,Mechanical(MS),"Dec 7, 2021",Examiner's Notice Sent,45 AVENUE RD
6,21 240883 PLB 00,Plumbing(PS),"Dec 7, 2021",Examiner's Notice Sent,45 AVENUE RD
7,21 240883 DRN 00,Drain and Site Service,"Dec 7, 2021",Examiner's Notice Sent,45 AVENUE RD
8,21 240883 STS 00,Drain and Site Service,"Dec 7, 2021",Examiner's Notice Sent,45 AVENUE RD
0,23 108373 HVA 00,Mechanical(MS),"Feb 3, 2023",Permit Issued,55 AVENUE RD
1,23 108373 PLB 00,Plumbing(PS),"Feb 3, 2023",Permit Issued,55 AVENUE RD
2,23 108373 BLD 00,Building Additions/Alterations,"Feb 2, 2023",Permit Issued,55 AVENUE RD
3,22 182227 BLD 00,Building Additions/Alterations,"Jul 29, 2022",Inspection,55 AVENUE RD
4,22 182227 HVA 00,Mechanical(MS),"Jul 29, 2022",Inspection,55 AVENUE RD
5,22 182227 PLB 00,Plumbing(PS),"Jul 29, 2022",Closed,55 AVENUE RD
6,22 106970 BLD 00,Building Additions/Alterations,"Jan 27, 2022",Inspection,55 AVENUE RD
7,21 181109 HVA 00,Mechanical(MS),"Jul 14, 2021",Inspection,55 AVENUE RD
8,21 147786 BLD 00,Building Additions/Alterations,"May 3, 2021",Inspection,55 AVENUE RD
9,20 160645 BLD 00,Building Additions/Alterations,"Jun 29, 2020",Inspection,55 AVENUE RD
10,19 190675 PLB 01,Plumbing(PS),"Feb 18, 2020",Revision Issued,55 AVENUE RD
11,19 186987 HVA 00,Mechanical(MS),"Jul 31, 2019",Inspection,55 AVENUE RD
12,19 190675 PLB 00,Plumbing(PS),"Jul 17, 2019",Inspection,55 AVENUE RD
13,19 137697 PLB 00,Plumbing(PS),"Apr 25, 2019",Inspection,55 AVENUE RD
14,19 137697 BLD 00,Building Additions/Alterations,"Apr 10, 2019",Permit Issued,55 AVENUE RD
15,18 255398 HVA 00,Mechanical(MS),"Nov 13, 2018",Inspection,55 AVENUE RD
16,18 241189 BLD 00,Building Additions/Alterations,"Oct 12, 2018",Permit Issued,55 AVENUE RD
17,18 214281 HVA 00,Mechanical(MS),"Aug 29, 2018",Inspection,55 AVENUE RD
18,18 214281 BLD 00,Building Additions/Alterations,"Aug 23, 2018",Inspection,55 AVENUE RD
19,18 157156 BLD 00,Building Additions/Alterations,"May 11, 2018",Permit Issued,55 AVENUE RD
20,17 261935 BLD 00,Building Additions/Alterations,"Nov 14, 2017",Inspection,55 AVENUE RD
21,17 261935 HVA 00,Mechanical(MS),"Nov 14, 2017",Inspection,55 AVENUE RD
22,17 169039 BLD 00,Building Additions/Alterations,"May 30, 2017",Inspection,55 AVENUE RD
23,17 169039 HVA 00,Mechanical(MS),"May 30, 2017",Inspection,55 AVENUE RD
24,17 169039 PLB 00,Plumbing(PS),"May 30, 2017",Inspection,55 AVENUE RD
25,16 250515 BLD 01,Building Additions/Alterations,"Apr 12, 2017",Revision Issued,55 AVENUE RD
26,16 250515 HVA 01,Mechanical(MS),"Apr 12, 2017",Revision Issued,55 AVENUE RD
27,17 125560 HVA 00,Mechanical(MS),"Mar 8, 2017",Permit Issued,55 AVENUE RD
28,17 125560 PLB 00,Plumbing(PS),"Mar 8, 2017",Permit Issued,55 AVENUE RD
29,17 125560 BLD 00,Building Additions/Alterations,"Mar 7, 2017",Inspection,55 AVENUE RD
30,17 120696 HVA 00,Mechanical(MS),"Feb 28, 2017",Inspection,55 AVENUE RD
31,17 120696 BLD 00,Building Additions/Alterations,"Feb 24, 2017",Inspection,55 AVENUE RD
32,17 108081 FSU 00,Fire/Security Upgrade,"Jan 25, 2017",Permit Issued,55 AVENUE RD
33,16 271611 BLD 00,Building Additions/Alterations,"Jan 4, 2017",Permit Issued,55 AVENUE RD
34,16 253451 BLD 00,Building Additions/Alterations,"Nov 21, 2016",Inspection,55 AVENUE RD
35,16 253452 BLD 00,Building Additions/Alterations,"Nov 21, 2016",Inspection,55 AVENUE RD
36,16 250515 BLD 00,Building Additions/Alterations,"Nov 14, 2016",Inspection,55 AVENUE RD
37,16 250515 HVA 00,Mechanical(MS),"Nov 14, 2016",Inspection,55 AVENUE RD
38,13 279044 BLD 05,Building Additions/Alterations,"Oct 28, 2016",Revision Issued,55 AVENUE RD
39,13 279044 HVA 03,Mechanical(MS),"Oct 28, 2016",Revision Issued,55 AVENUE RD
40,13 279044 PLB 03,Plumbing(PS),"Oct 28, 2016",Revision Issued,55 AVENUE RD
41,16 236000 BLD 00,Building Additions/Alterations,"Oct 13, 2016",Permit Issued,55 AVENUE RD
42,16 236000 HVA 00,Mechanical(MS),"Oct 13, 2016",Permit Issued,55 AVENUE RD
43,16 216730 PLB 00,Plumbing(PS),"Oct 12, 2016",Inspection,55 AVENUE RD
44,16 216730 BLD 00,Building Additions/Alterations,"Sep 15, 2016",Inspection,55 AVENUE RD
45,16 214533 BLD 00,Building Additions/Alterations,"Aug 30, 2016",Inspection,55 AVENUE RD
46,16 178801 PLB 00,Plumbing(PS),"Jul 12, 2016",Inspection,55 AVENUE RD
47,16 178801 HVA 00,Mechanical(MS),"Jun 23, 2016",Inspection,55 AVENUE RD
48,16 178801 BLD 00,Building Additions/Alterations,"Jun 22, 2016",Inspection,55 AVENUE RD
49,13 279044 PLB 02,Plumbing(PS),"May 12, 2016",Revision Issued,55 AVENUE RD
50,16 143925 HVA 00,Mechanical(MS),"Apr 22, 2016",Inspection,55 AVENUE RD
51,16 133065 BLD 00,Building Additions/Alterations,"Mar 31, 2016",Permit Issued,55 AVENUE RD
52,16 114773 BLD 01,Building Additions/Alterations,"Mar 29, 2016",Revision Issued,55 AVENUE RD
53,13 279044 HVA 02,Mechanical(MS),"Mar 22, 2016",Revision Issued,55 AVENUE RD
54,13 279044 BLD 03,Building Additions/Alterations,"Mar 22, 2016",Revision Issued,55 AVENUE RD
55,16 120527 BLD 00,Building Additions/Alterations,"Mar 15, 2016",Permit Issued,55 AVENUE RD
56,16 114773 BLD 00,Building Additions/Alterations,"Feb 9, 2016",Inspection,55 AVENUE RD
57,16 100688 HVA 00,Mechanical(MS),"Jan 6, 2016",Inspection,55 AVENUE RD
58,16 100688 BLD 00,Building Additions/Alterations,"Jan 5, 2016",Inspection,55 AVENUE RD
59,15 254749 HVA 00,Mechanical(MS),"Dec 2, 2015",Inspection,55 AVENUE RD
60,15 254749 BLD 00,Building Additions/Alterations,"Nov 23, 2015",Inspection,55 AVENUE RD
61,15 227144 FSU 00,Fire/Security Upgrade,"Sep 24, 2015",Inspection,55 AVENUE RD
62,13 279044 BLD 02,Building Additions/Alterations,"Jul 29, 2015",Revision Issued,55 AVENUE RD
63,13 279044 HVA 01,Mechanical(MS),"Jul 29, 2015",Revision Issued,55 AVENUE RD
64,13 279044 PLB 01,Plumbing(PS),"Jul 29, 2015",Revision Issued,55 AVENUE RD
65,15 188766 BLD 00,Building Additions/Alterations,"Jul 10, 2015",Inspection,55 AVENUE RD
66,15 188766 PLB 00,Plumbing(PS),"Jul 10, 2015",Permit Issued,55 AVENUE RD
67,15 185605 BLD 00,Building Additions/Alterations,"Jul 7, 2015",Inspection,55 AVENUE RD
68,15 133134 BLD 00,Building Additions/Alterations,"Mar 27, 2015",Inspection,55 AVENUE RD
69,13 279044 BLD 01,Building Additions/Alterations,"Feb 3, 2015",Revision Issued,55 AVENUE RD
70,14 227266 BLD 00,Building Additions/Alterations,"Oct 8, 2014",Permit Issued,55 AVENUE RD
71,14 227266 HVA 00,Mechanical(MS),"Oct 8, 2014",Inspection,55 AVENUE RD
72,14 227266 PLB 00,Plumbing(PS),"Oct 8, 2014",Permit Issued,55 AVENUE RD
73,14 200816 BLD 00,Building Additions/Alterations,"Aug 1, 2014",Permit Issued,55 AVENUE RD
74,14 137169 HVA 00,Mechanical(MS),"Apr 2, 2014",Inspection,55 AVENUE RD
75,13 238650 BLD 01,Building Additions/Alterations,"Feb 27, 2014",Revision Issued,55 AVENUE RD
76,13 278994 BLD 00,Building Additions/Alterations,"Dec 24, 2013",Inspection,55 AVENUE RD
77,13 279044 BLD 00,Building Additions/Alterations,"Dec 24, 2013",Inspection,55 AVENUE RD
78,13 278994 HVA 00,Mechanical(MS),"Dec 24, 2013",Inspection,55 AVENUE RD
79,13 278994 PLB 00,Plumbing(PS),"Dec 24, 2013",Inspection,55 AVENUE RD
80,13 279044 HVA 00,Mechanical(MS),"Dec 24, 2013",Inspection,55 AVENUE RD
81,13 279044 PLB 00,Plumbing(PS),"Dec 24, 2013",Inspection,55 AVENUE RD
82,13 238650 BLD 00,Building Additions/Alterations,"Sep 19, 2013",Inspection,55 AVENUE RD
83,13 238661 BLD 00,Building Additions/Alterations,"Sep 19, 2013",Inspection,55 AVENUE RD
0,14 227266 BLD 00,Building Additions/Alterations,"Oct 8, 2014",Permit Issued,55 A AVENUE RD
1,14 227266 HVA 00,Mechanical(MS),"Oct 8, 2014",Inspection,55 A AVENUE RD
2,14 227266 PLB 00,Plumbing(PS),"Oct 8, 2014",Permit Issued,55 A AVENUE RD
0,16 126378 DRN 00,Drain and Site Service,"Mar 14, 2016",Pending Cancellation,17 AVONDALE RD
0,19 147009 HVA 00,Mechanical(MS),"Sep 28, 2020",Inspection,19 AVONDALE RD
1,19 147009 BLD 01,Small Residential Projects,"May 5, 2020",Revision Issued,19 AVONDALE RD
2,19 147009 PLB 01,Plumbing(PS),"May 5, 2020",Revision Issued,19 AVONDALE RD
3,19 147009 BLD 00,Small Residential Projects,"Apr 30, 2019",Inspection,19 AVONDALE RD
4,19 147009 DRN 00,Drain and Site Service,"Apr 30, 2019",Inspection,19 AVONDALE RD
5,19 147009 PLB 00,Plumbing(PS),"Apr 30, 2019",Inspection,19 AVONDALE RD
0,21 101607 BLD 00,New Houses,"Jan 20, 2021",Inspection,30 AVONDALE RD
1,21 101607 HVA 00,Mechanical(MS),"Jan 20, 2021",Permit Issued,30 AVONDALE RD
2,21 101607 PLB 00,Plumbing(PS),"Jan 20, 2021",Permit Issued,30 AVONDALE RD
3,21 101607 DRN 00,Drain and Site Service,"Jan 20, 2021",Permit Issued,30 AVONDALE RD
0,17 141415 BLD 00,Building Additions/Alterations,"Apr 12, 2017",Permit Issued,35 BALMUTO ST
0,19 100693 HVA 00,Mechanical(MS),"Jan 10, 2019",Permit Issued,711-717 BAY ST
1,19 100693 PLB 00,Plumbing(PS),"Jan 10, 2019",Inspection,711-717 BAY ST
2,17 251939 HVA 00,Mechanical(MS),"Nov 17, 2017",Inspection,711-717 BAY ST
3,17 251939 PLB 00,Plumbing(PS),"Nov 17, 2017",Inspection,711-717 BAY ST
4,17 258995 BLD 00,Building Additions/Alterations,"Nov 8, 2017",Inspection,711-717 BAY ST
5,17 251939 BLD 00,Building Additions/Alterations,"Oct 23, 2017",Inspection,711-717 BAY ST
6,14 231203 BLD 00,Building Additions/Alterations,"Oct 2, 2014",Permit Issued,711-717 BAY ST
7,13 280583 BLD 00,Building Additions/Alterations,"Dec 20, 2013",Permit Issued,711-717 BAY ST
8,13 280583 HVA 00,Mechanical(MS),"Dec 20, 2013",Permit Issued,711-717 BAY ST
9,13 261766 BLD 00,Building Additions/Alterations,"Nov 6, 2013",Inspection,711-717 BAY ST
0,14 231203 BLD 00,Building Additions/Alterations,"Oct 2, 2014",Permit Issued,711 BAY ST
0,17 202673 FSU 00,Fire/Security Upgrade,"Jul 27, 2017",Permit Issued,720 BAY ST
1,16 246659 HVA 00,Mechanical(MS),"Nov 7, 2016",Permit Issued,720 BAY ST
2,16 246659 BLD 00,Building Additions/Alterations,"Nov 3, 2016",Inspection,720 BAY ST
3,15 135645 BLD 00,Building Additions/Alterations,"Apr 2, 2015",Permit Issued,720 BAY ST
4,15 135645 HVA 00,Mechanical(MS),"Apr 2, 2015",Permit Issued,720 BAY ST
5,13 254461 HVA 00,Mechanical(MS),"Oct 22, 2013",Permit Issued,720 BAY ST
6,13 216022 BLD 00,Building Additions/Alterations,"Aug 6, 2013",Work Not Started,720 BAY ST
7,13 216022 HVA 00,Mechanical(MS),"Aug 6, 2013",Permit Issued,720 BAY ST
0,21 199787 BLD 00,Building Additions/Alterations,"Aug 18, 2021",Permit Issued,736 BAY ST
0,21 121275 BLD 00,Building Additions/Alterations,"Mar 8, 2021",Permit Issued,750 BAY ST
1,15 102147 PSA 00,Plumbing(PS),"Jan 13, 2015",Permit Issued,750 BAY ST
0,22 205195 BLD 00,Building Additions/Alterations,"Sep 21, 2022",Inspection,750 BAY ST
1,22 205195 HVA 00,Mechanical(MS),"Sep 21, 2022",Inspection,750 BAY ST
2,22 205195 PLB 00,Plumbing(PS),"Sep 21, 2022",Inspection,750 BAY ST
3,19 163177 BLD 00,Building Additions/Alterations,"May 31, 2019",Permit Issued,750 BAY ST
0,20 157282 BLD 00,Building Additions/Alterations,"Jun 18, 2020",Permit Issued,761 BAY ST
1,20 156016 BLD 00,Building Additions/Alterations,"Jun 17, 2020",Permit Issued,761 BAY ST
2,19 196239 PSA 00,Plumbing(PS),"Jul 31, 2019",Inspection,761 BAY ST
3,16 174352 FSU 00,Fire/Security Upgrade,"Jun 16, 2016",Inspection,761 BAY ST
4,16 102211 BLD 00,Building Additions/Alterations,"Jan 8, 2016",Permit Issued,761 BAY ST
0,20 156016 BLD 00,Building Additions/Alterations,"Jun 17, 2020",Permit Issued,763 BAY ST
0,19 148247 BLD 00,Building Additions/Alterations,"May 7, 2019",Inspection,770 BAY ST
0,23 103464 BLD 00,Building Additions/Alterations,"Jan 13, 2023",Permit Issued,777 BAY ST
1,23 103464 HVA 00,Mechanical(MS),"Jan 13, 2023",Permit Issued,777 BAY ST
2,22 154528 HVA 00,Mechanical(MS),"Jun 21, 2022",Inspection,777 BAY ST
3,22 154528 PLB 00,Plumbing(PS),"Jun 21, 2022",Inspection,777 BAY ST
4,22 154528 BLD 00,Building Additions/Alterations,"Jun 20, 2022",Inspection,777 BAY ST
5,22 139487 BLD 00,Building Additions/Alterations,"May 16, 2022",Permit Issued,777 BAY ST
6,22 139487 HVA 00,Mechanical(MS),"May 16, 2022",Inspection,777 BAY ST
7,19 237197 BLD 00,Building Additions/Alterations,"Oct 21, 2019",Inspection,777 BAY ST
8,18 158103 MSA 00,Mechanical(MS),"May 14, 2018",Permit Issued,777 BAY ST
9,17 112431 HVA 00,Mechanical(MS),"Feb 6, 2017",Inspection,777 BAY ST
10,17 112431 BLD 00,Building Additions/Alterations,"Feb 2, 2017",Permit Issued,777 BAY ST
11,13 264196 BLD 00,Building Additions/Alterations,"Nov 12, 2013",Inspection,777 BAY ST
12,13 264196 PLB 00,Plumbing(PS),"Nov 12, 2013",Permit Issued,777 BAY ST
0,23 121183 BLD 00,Building Additions/Alterations,"Mar 10, 2023",Not Started,777 BAY ST
1,22 220241 BLD 01,Building Additions/Alterations,"Jan 27, 2023",Revision Issued,777 BAY ST
2,22 220241 HVA 01,Mechanical(MS),"Jan 27, 2023",Revision Issued,777 BAY ST
3,22 220241 PLB 01,Plumbing(PS),"Jan 27, 2023",Revision Issued,777 BAY ST
4,22 236991 SGN 00,Sign Permit,"Dec 7, 2022",Permit Issued,777 BAY ST
5,22 236991 DST 00,Designated Structures,"Dec 7, 2022",Permit Issued,777 BAY ST
6,22 220241 HVA 00,Mechanical(MS),"Dec 5, 2022",Inspection,777 BAY ST
